lat,lon,validdate,t_2m:C,precip_1h:mm
2.5,-77.5,2024-10-12 00:00:00+00:00,23.2,1.06
2.5,-77.5,2024-10-12 12:00:00+00:00,22.3,0.72
2.5,-77.5,2024-10-13 00:00:00+00:00,23.5,1.6
2.5,-77.5,2024-10-13 12:00:00+00:00,22.9,0.2
2.5,-77.5,2024-10-14 00:00:00+00:00,22.9,1.37
2.5,-77.5,2024-10-14 12:00:00+00:00,22.7,1.12
2.5,-77.5,2024-10-15 00:00:00+00:00,23.3,3.83
2.5,-77.0,2024-10-05 00:00:00+00:00,15.5,0.8
2.5,-77.0,2024-10-05 12:00:00+00:00,15.5,0.0
2.5,-77.0,2024-10-06 00:00:00+00:00,15.5,0.84
2.5,-77.0,2024-10-06 12:00:00+00:00,15.7,0.0
2.5,-77.0,2024-10-07 00:00:00+00:00,15.2,0.0
2.5,-77.0,2024-10-07 12:00:00+00:00,15.4,0.0
2.5,-77.0,2024-10-08 00:00:00+00:00,15.2,1.26
2.5,-77.0,2024-10-08 12:00:00+00:00,14.8,3.75
2.5,-77.0,2024-10-09 00:00:00+00:00,15.1,0.58
2.5,-77.0,2024-10-09 12:00:00+00:00,15.0,1.8
2.5,-77.0,2024-10-10 00:00:00+00:00,15.5,0.25
2.5,-77.0,2024-10-10 12:00:00+00:00,15.0,0.51
2.5,-77.0,2024-10-11 00:00:00+00:00,15.3,0.13
2.5,-77.0,2024-10-11 12:00:00+00:00,15.7,0.0
2.5,-77.0,2024-10-12 00:00:00+00:00,15.4,0.49
2.5,-77.0,2024-10-12 12:00:00+00:00,15.4,0.0
2.5,-77.0,2024-10-13 00:00:00+00:00,16.2,0.21
2.5,-77.0,2024-10-13 12:00:00+00:00,15.5,0.0
2.5,-77.0,2024-10-14 00:00:00+00:00,16.2,0.28
2.5,-77.0,2024-10-14 12:00:00+00:00,15.2,0.0
2.5,-77.0,2024-10-15 00:00:00+00:00,15.7,0.56
2.5,-76.5,2024-10-05 00:00:00+00:00,15.2,2.3
2.5,-76.5,2024-10-05 12:00:00+00:00,14.0,0.0
2.5,-76.5,2024-10-06 00:00:00+00:00,15.1,0.63
2.5,-76.5,2024-10-06 12:00:00+00:00,14.7,0.0
2.5,-76.5,2024-10-07 00:00:00+00:00,15.6,0.0
2.5,-76.5,2024-10-07 12:00:00+00:00,15.1,0.0
2.5,-76.5,2024-10-08 00:00:00+00:00,15.0,0.26
2.5,-76.5,2024-10-08 12:00:00+00:00,14.1,0.31
2.5,-76.5,2024-10-09 00:00:00+00:00,15.6,0.34
2.5,-76.5,2024-10-09 12:00:00+00:00,14.1,3.9
2.5,-76.5,2024-10-10 00:00:00+00:00,15.8,0.6
2.5,-76.5,2024-10-10 12:00:00+00:00,15.3,0.5
2.5,-76.5,2024-10-11 00:00:00+00:00,15.4,1.01
2.5,-76.5,2024-10-11 12:00:00+00:00,15.3,0.0
2.5,-76.5,2024-10-12 00:00:00+00:00,15.9,1.19
2.5,-76.5,2024-10-12 12:00:00+00:00,15.2,0.0
2.5,-76.5,2024-10-13 00:00:00+00:00,16.7,0.88
2.5,-76.5,2024-10-13 12:00:00+00:00,15.1,0.11
2.5,-76.5,2024-10-14 00:00:00+00:00,15.9,0.32
2.5,-76.5,2024-10-14 12:00:00+00:00,14.7,0.0
2.5,-76.5,2024-10-15 00:00:00+00:00,15.6,1.49
2.5,-76.0,2024-10-05 00:00:00+00:00,16.9,0.0
2.5,-76.0,2024-10-05 12:00:00+00:00,16.8,0.0
2.5,-76.0,2024-10-06 00:00:00+00:00,18.1,0.0
2.5,-76.0,2024-10-06 12:00:00+00:00,16.4,0.0
2.5,-76.0,2024-10-07 00:00:00+00:00,18.8,0.0
2.5,-76.0,2024-10-07 12:00:00+00:00,16.5,0.0
2.5,-76.0,2024-10-08 00:00:00+00:00,17.8,0.41
2.5,-76.0,2024-10-08 12:00:00+00:00,15.8,0.24
2.5,-76.0,2024-10-09 00:00:00+00:00,18.0,0.0
